case_id,fact_pattern,violence_score,financial_loss_score,victim_vulnerability_score,premeditation_score,public_safety_risk,priors,plea_guilty,mitigating_circumstances,juvenile,court_region,sentence_United States,sentence_United Kingdom,sentence_Canada,sentence_Australia,sentence_Singapore,sentence_India,sentence_Germany,sentence_France,sentence_Italy,sentence_Spain,sentence_Switzerland,sentence_Brazil,sentence_Norway,sentence_Sweden,sentence_Denmark,sentence_Japan,sentence_South Korea,sentence_Saudi Arabia,sentence_Iran,sentence_South Africa
0,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises.",0.274,0.0,0.0,0.024,0.105,1,0,0,0,0,63.2,37.3,29.7,36.5,75.4,31.2,27.7,24.6,21.9,23.5,16.6,24.0,13.2,12.5,13.0,18.1,19.2,62.2,47.8,34.7
1,"The offender was found in possession of 200 grams of cocaine, scales, and packaging materials indicating distribution.",0.12,0.192,0.095,0.478,0.787,2,0,0,0,0,217.4,98.8,70.8,69.1,258.0,94.6,62.5,68.3,57.1,59.6,40.0,79.0,27.1,27.4,29.6,48.0,59.7,120.9,116.2,125.4
2,"The offender physically assaulted the victim by punching and kicking them multiple times, causing severe facial fractures. The defendant discharged an assault rifle into the air in a crowded public square, causing mass panic. The offender stole a bicycle valued at $300 parked outside a supermarket.",0.71,0.111,0.323,0.404,0.997,0,1,1,0,1,100.2,62.5,48.9,51.7,190.0,71.5,44.3,49.4,39.4,35.3,30.9,55.4,21.9,26.1,27.7,21.2,31.1,135.0,141.8,96.3
3,"The offender was found in possession of 200 grams of cocaine, scales, and packaging materials indicating distribution.",0.055,0.173,0.079,0.458,0.723,0,1,1,0,1,36.8,25.8,18.7,20.0,111.8,50.8,20.6,21.8,17.3,17.0,12.8,29.3,8.6,10.4,8.1,9.5,15.1,59.7,58.5,29.8
4,"The defendant attacked the victim with a metal pipe during an argument, resulting in a deep head wound. The offender stole a bicycle valued at $300 parked outside a supermarket.",0.818,0.037,0.113,0.303,0.474,1,1,1,0,0,127.6,75.6,64.9,58.4,213.1,64.1,53.8,51.4,39.5,46.0,31.9,60.8,22.2,26.1,26.5,18.8,35.7,176.8,162.5,93.5
5,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises.",0.273,0.0,0.0,0.0,0.071,4,1,0,0,1,52.4,35.0,28.4,29.2,107.9,51.0,32.0,29.9,21.1,23.4,16.6,32.1,14.3,18.5,15.9,12.5,19.6,63.5,83.5,55.7
6,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises.",0.264,0.024,0.004,0.025,0.093,1,1,1,0,1,35.2,16.6,16.8,13.7,63.2,38.2,12.0,12.5,10.8,11.0,7.8,16.8,6.1,7.6,7.3,5.9,8.4,41.2,47.7,21.4
7,"The offender physically assaulted the victim by punching and kicking them multiple times, causing severe facial fractures. The crime targeted a 7-year-old child who was walking home alone from school.",0.729,0.0,0.906,0.288,0.45,1,1,1,0,0,145.4,91.5,52.2,69.3,247.0,93.9,50.6,51.5,48.1,50.3,36.4,62.6,24.4,29.4,30.0,22.6,46.6,189.7,141.1,112.5
8,The suspect stole a wallet containing credit cards and $150 cash from an unattended purse in a cafe.,0.027,0.074,0.0,0.166,0.0,2,1,1,0,0,15.6,9.8,7.8,7.0,25.2,10.0,7.2,7.3,5.2,5.3,3.6,5.7,2.1,2.6,2.4,2.8,4.5,26.3,19.1,17.5
9,"The defendant discharged an assault rifle into the air in a crowded public square, causing mass panic. The suspect broke into a commercial warehouse and stole electronics worth approximately $5,000. The perpetrator shot the victim in the chest at close range following a dispute, causing fatal injuries.",1.0,0.392,0.342,0.51,0.949,0,1,1,0,0,153.4,79.0,62.7,80.3,255.9,107.2,66.4,61.1,49.9,50.0,40.4,77.5,30.7,32.0,35.5,28.6,42.7,214.7,199.4,100.3
10,"The defendant attacked the victim with a metal pipe during an argument, resulting in a deep head wound.",0.759,0.0,0.057,0.326,0.527,0,1,0,0,1,83.0,64.9,59.0,61.0,149.0,70.6,53.4,52.1,42.1,60.4,38.4,70.2,32.2,32.9,32.6,27.0,37.1,119.3,106.6,83.5
11,The suspect stole a wallet containing credit cards and $150 cash from an unattended purse in a cafe.,0.019,0.111,0.0,0.217,0.037,3,1,0,0,0,48.2,14.2,15.4,13.1,42.7,24.5,15.2,13.2,10.2,13.0,8.4,13.3,5.2,5.6,6.1,7.2,9.2,39.5,30.7,28.1
12,"The offender was found in possession of 200 grams of cocaine, scales, and packaging materials indicating distribution.",0.051,0.221,0.056,0.457,0.703,0,1,0,0,0,46.3,35.5,31.3,34.8,99.0,39.1,30.1,28.4,28.0,27.2,18.5,33.1,16.2,16.0,13.5,15.4,27.0,70.4,71.5,56.5
